,head,head_replaced,head_translated
13343,PersonX develops PersonY's potential,someone develops someone else's potential,有人开发了别人的潜能
13344,PersonX evens asked ___,someone evens asked something,有人问
13345,PersonX washes PersonY's car,someone washes someone else's car,有人洗别人的车
13346,PersonX buys some new shoes,someone buys some new shoes,有人买了双新鞋
13347,PersonX is back to normal,someone is back to normal,有人恢复正常了
13348,PersonX casts PersonY's line,someone casts someone else's line,有人把别人的线
13349,PersonX plays the gender card,someone plays the gender card,有人打性别牌
13350,PersonX washes shirts by hand,someone washes shirts by hand,有人用手洗衬衫
13351,PersonX posts it online,someone posts it online,有人把它发到网上
13352,PersonX adopts the dog,someone adopts the dog,有人收养了这条狗
13353,PersonX admits ___ into the union,someone admits something into the union,有人向工会承认了一些事情
13354,PersonX begins working,someone begins working,有人开始工作了
13355,PersonX eats cake,someone eats cake,有人吃蛋糕
13356,PersonX learns to ride a bike,someone learns to ride a bike,有人学骑自行车
13357,PersonX works hard at it,someone works hard at it,有人很努力
13358,PersonX keeps it up,someone keeps it up,有人一直这样
13359,PersonX evaluates ___ in terms,someone evaluates something in terms,某人用术语评价某物
13360,PersonX loves the beach,someone loves the beach,有人喜欢海滩
13361,PersonX regards every ___,someone regards every something,有人把所有的东西
13362,PersonX keeps house for PersonY,someone keeps house for someone else,有人替别人料理家务
13363,PersonX accomplishes PersonX's goals,someone accomplishes his goals,有人完成了他的目标
13364,PersonX really hated,someone really hated,有人真的讨厌
13365,PersonX talks to PersonX's teacher,someone talks to his teacher,有人和他的老师谈话
13366,PersonX goes through the mill,someone goes through the mill,有人经过磨房
13367,PersonX holds PersonY's arm,someone holds someone else's arm,有人抓住别人的胳膊
13368,PersonX uses PersonY example,someone uses someone else example,有人用别人的例子
13369,PersonX is always late,someone is always late,总有人迟到
13370,PersonX goes PersonX's ways,someone goes his ways,有人走他的路
13371,PersonX loves PersonY well,someone loves someone else well,有人很爱别人
13372,PersonX causes trouble,someone causes trouble,有人惹麻烦
13373,PersonX uses the toilet,someone uses the toilet,有人上厕所
13374,PersonX sees ___ with PersonX's friends,someone sees something with his friends,有人看到他的朋友
13375,PersonX turns around to face PersonY,someone turns around to face someone else,有人转过身去面对别人
13376,PersonX jumps down PersonY's throat,someone jumps down someone else's throat,有人跳下别人的喉咙
13377,PersonX sees PersonY wife,someone sees someone else wife,有人看到别人的妻子
13378,PersonX provides PersonY level,someone provides someone else level,有人提供了其他人级别
13379,PersonX sells books online,someone sells books online,有人在网上卖书
13380,PersonX brings the puppy,someone brings the puppy,有人把小狗带来了
13381,PersonX exploits every ___,someone exploits every something,有人利用一切
13382,PersonX wants to go to school,someone wants to go to school,有人想去学校
13383,PersonX is angry at PersonY's brother,someone is angry at someone else's brother,有人在生别人兄弟的气
13384,PersonX wishes would take,someone wishes would take,有人希望
13385,PersonX tickles the dragons tail,someone tickles the dragons tail,有人挠龙尾
13386,PersonX is stuck in traffic,someone is stuck in traffic,有人被堵在路上
13387,PersonX always gets,someone always gets,总有人
13388,PersonX loses ___ yesterday,someone loses something yesterday,昨天有人丢了东西
13389,PersonX laughs out loud,someone laughs out loud,有人放声大笑
13390,PersonX goes sky diving,someone goes sky diving,有人去跳伞
13391,PersonX challenges PersonY to a race,someone challenges someone else to a race,有人向别人挑战
13392,PersonX raises an eyebrow at PersonY,someone raises an eyebrow at someone else,有人向别人扬起眉毛
13393,PersonX is walking on the beach,someone is walking on the beach,有人在海滩上散步
13394,PersonX touches PersonY's lips,someone touches someone else's lips,有人碰了别人的嘴唇
13395,PersonX supplies PersonY's needs,someone supplies someone else's needs,有人供给别人的需要
13396,PersonX provides PersonY account,someone provides someone else account,某人提供他人帐号
13397,PersonX walks ___ from school one day,someone walks something from school one day,有一天，有人从学校走出来
13398,PersonX becomes great friends,someone becomes great friends,有人会成为好朋友
13399,PersonX makes PersonX's coffee,someone makes his coffee,有人给他煮咖啡
13400,PersonX tests the waters,someone tests the waters,有人试水
13401,PersonX spills ___ all over the floor,someone spills something all over the floor,有人把东西洒了一地
13402,PersonX makes the world better,someone makes the world better,有人让世界变得更美好
13403,PersonX talks on PersonX's phone,someone talks on his phone,有人打他的电话
13404,PersonX makes PersonY guess,someone makes someone else guess,有人让别人猜
13405,PersonX orders shoes from amazon,someone orders shoes from amazon,有人从亚马逊订购鞋子
13406,PersonX asks PersonY's father,someone asks someone else's father,有人问别人的父亲
13407,PersonX looks upon PersonY,someone looks upon someone else,有人看着别人
13408,PersonX attaches to PersonY,someone attaches to someone else,有人依附于别人
13409,PersonX adds ___ to the fire,someone adds something to the fire,有人往火里添东西
13410,PersonX calls the school,someone calls the school,有人打电话给学校
13411,PersonX likes fishing,someone likes fishing,有人喜欢钓鱼
13412,PersonX purchases tickets,someone purchases tickets,有人买票
13413,PersonX loves to read books,someone loves to read books,有人喜欢看书
13414,PersonX gets ___ from the bank,someone gets something from the bank,有人从银行得到了一些东西
13415,PersonX paints PersonX's house,someone paints his house,有人粉刷他的房子
13416,PersonX stalks PersonY,someone stalks someone else,有人跟踪别人
13417,PersonX drives ___ from work one day,someone drives something from work one day,有一天，有人从单位开车出去
13418,PersonX interviews for PersonX's dream job,someone interviews for his dream job,某人面试他理想的工作
13419,PersonX meets the lord in the air,someone meets the lord in the air,有人在空中遇见上帝
13420,PersonX decides to buy a lottery ticket,someone decides to buy a lottery ticket,有人决定买彩票
13421,PersonX has a crush on PersonY,someone has a crush on someone else,某人暗恋某人
13422,PersonX buys PersonX's dress,someone buys his dress,有人买了他的裙子
13423,PersonX leaves PersonY's book,someone leaves someone else's book,有人留下了别人的书
13424,PersonX leaves enough alone,someone leaves enough alone,有人留下了足够的孤独
13425,PersonX puts forth PersonX's ___,someone puts forth his something,有人提出他的东西
13426,PersonX has a large family,someone has a large family,有人有一个大家庭
13427,PersonX shoots and killed,someone shoots and killed,有人开枪杀人
13428,PersonX meets PersonY mother,someone meets someone else mother,有人遇见了别人母亲
13429,PersonX gets hit in the head,someone gets hit in the head,有人被击中头部
13430,PersonX lets PersonY go with a warning,someone lets someone else go with a warning,有人让别人带着警告走了
13431,PersonX puts dogfood in a bowl,someone puts dogfood in a bowl,有人把狗粮放在碗里
13432,PersonX takes PersonY's orders,someone takes someone else's orders,有人听命于别人
13433,PersonX takes PersonY stand,someone takes someone else stand,有人站在别人一边
13434,PersonX pays PersonY's medical bills,someone pays someone else's medical bills,有人替别人付医药费
13435,PersonX has a nice time,someone has a nice time,有人玩得很开心
13436,PersonX needs to lose some weight,someone needs to lose some weight,有人需要减肥
13437,PersonX tilts PersonY's head,someone tilts someone else's head,有人倾斜别人的头
13438,PersonX sees the country,someone sees the country,有人看到了这个国家
13439,PersonX makes mincemeat out of ___,someone makes mincemeat out of something,有人把某物剁成肉酱
13440,PersonX stops at a stop sign,someone stops at a stop sign,有人在停车标志前停下
13441,PersonX pays PersonX's medical bills,someone pays his medical bills,有人替他付医药费
13442,PersonX crowds around,someone crowds around,有人围着你
13443,PersonX takes PersonY's dog on a walk,someone takes someone else's dog on a walk,有人牵着别人的狗散步
13444,PersonX buys a new suit,someone buys a new suit,有人买了一套新衣服
13445,PersonX plays a ___ in the movement,someone plays something in the movement,有人在乐章里演奏
13446,PersonX just rolled PersonY's eyes,someone just rolled someone else's eyes,有人翻白眼了
13447,PersonX shakes PersonY's head sadly,someone shakes someone else's head sadly,有人伤心地摇摇头
13448,PersonX goes to PersonY's place,someone goes to someone else's place,有人去了别人家
13449,PersonX makes PersonY sad,someone makes someone else sad,有人让别人伤心
13450,PersonX gives PersonY's history,someone gives someone else's history,有人把别人的历史
13451,PersonX buys PersonX's ticket,someone buys his ticket,有人买了他的票
13452,PersonX prevents ___ within the group,someone prevents something within the group,有人阻止团队中的某些事情
13453,PersonX stands the ___ longer,someone stands something longer,有人站得更久
13454,PersonX plays a part in the development,someone plays a part in the development,有人参与了
13455,PersonX calls the exterminator,someone calls the exterminator,有人打电话给灭虫员
13456,PersonX talks to PersonY for a bit,someone talks to someone else for a bit,有人跟别人聊了一会儿
13457,PersonX works with PersonY,someone works with someone else,有人和别人一起工作
13458,PersonX cries uncle,someone cries uncle,有人喊叔叔
13459,PersonX thinks of a solution,someone thinks of a solution,有人想出解决办法
13460,PersonX calls PersonX's husband,someone calls his husband,有人打电话给他丈夫
13461,PersonX changes PersonX's shape,someone changes his shape,有人改变了他的外形
13462,PersonX takes every precaution,someone takes every precaution,有人采取了一切预防措施
13463,PersonX sees a raccoon,someone sees a raccoon,有人看见一只浣熊
13464,PersonX pleases PersonY,someone pleases someone else,有人取悦别人
13465,PersonX memorizes every book,someone memorizes every book,有人能记住每本书
13466,PersonX sets a rock on the moon,someone sets a rock on the moon,有人把石头放在月球上
13467,PersonX catches PersonY's hand,someone catches someone else's hand,有人抓住了别人的手
13468,PersonX pries open,someone pries open,有人撬开了
13469,PersonX advises PersonY to take,someone advises someone else to take,有人建议其他人
13470,PersonX relieves the patient 's ___,someone relieves the patient 's something,有人能减轻病人的痛苦
13471,PersonX fights PersonY battle,someone fights someone else battle,有人和别人打架
13472,PersonX takes the wheel,someone takes the wheel,有人掌舵
13473,PersonX abolishes the ___ altogether,someone abolishes something altogether,某人完全废除某物
13474,PersonX buys a gym membership,someone buys a gym membership,有人买了健身房的会员卡
13475,PersonX has ever happened to PersonY,someone has ever happened to someone else,曾经发生在别人身上的事
13476,PersonX leaves ___ on the table,someone leaves something on the table,有人把东西放在桌上
13477,PersonX flies off at a tangent,someone flies off at a tangent,有人切线飞走了
13478,PersonX carries on PersonY's work,someone carries on someone else's work,有人替别人干活
13479,PersonX has a new baby,someone has a new baby,有人生了个孩子
13480,PersonX gives ___ access,someone gives something access,有人给了我
13481,PersonX sees ___ in a light,someone sees something in a light,有人从灯光里看到了什么
13482,PersonX sends PersonX's children to schools,someone sends his children to schools,有人送孩子上学
13483,PersonX visits many stores,someone visits many stores,有人光顾很多商店
13484,PersonX knows well the ___,someone knows well something,有人很清楚
13485,PersonX plays a violin in the world,someone plays a violin in the world,世界上有人拉小提琴
13486,PersonX takes care of children,someone takes care of children,有人照顾孩子
13487,PersonX puts PersonY ___ to the war,someone puts someone else something to the war,有人把别人的东西投入战争
13488,PersonX returns to PersonY,someone returns to someone else,有人回到别人身边
13489,PersonX puts on the map,someone puts on the map,有人把地图
13490,PersonX finds ___ soon,someone finds something soon,很快就会有人发现
13491,PersonX makes PersonY better,someone makes someone else better,有人让别人变得更好
13492,PersonX brings ___ to the doctor,someone brings something to the doctor,有人带了东西给医生
13493,PersonX puts PersonY to use,someone puts someone else to use,有人让别人用
13494,PersonX has n't eaten all day,someone has n't eaten all day,有人一整天没吃东西了
13495,PersonX takes a few minutes,someone takes a few minutes,有人花了几分钟
13496,PersonX opens PersonY's eyes,someone opens someone else's eyes,有人睁开了别人的眼睛
13497,PersonX gets a hotel room,someone gets a hotel room,有人订了旅馆房间
13498,PersonX travels a lot,someone travels a lot,有人经常出差
13499,PersonX sends the ___ to school,someone sends something to school,有人送东西到学校
13500,PersonX wants to go with PersonY,someone wants to go with someone else,有人想和别人一起去
13501,PersonX brings PersonY fame,someone brings someone else fame,有人给别人带来名声
13502,PersonX borrows money,someone borrows money,有人借钱
13503,PersonX walks down the stairs,someone walks down the stairs,有人走下楼梯
13504,PersonX prevents ___ from seeing,someone prevents something from seeing,有人阻止某事
13505,PersonX declares ___ on the states,someone declares something on the states,有人在美国宣称
13506,PersonX makes in PersonY life,someone makes in someone else life,在别人的生活中
13507,PersonX keeps ___ away,someone keeps something away,有人把东西藏起来
13508,PersonX decides on one,someone decides on one,有人决定了
13509,PersonX always told,someone always told,总有人说
13510,PersonX tells PersonY's parents what happened,someone tells someone else's parents what happened,有人告诉别人的父母
13511,PersonX says PersonY would,someone says someone else would,有人说别人会
13512,PersonX improves PersonY's understanding,someone improves someone else's understanding,有人提高了别人的理解力
13513,PersonX satisfies PersonX's hunger,someone satisfies his hunger,有人满足了他的饥饿
13514,PersonX combs PersonY's hair,someone combs someone else's hair,有人给别人梳头
13515,PersonX knows PersonY heart,someone knows someone else heart,有人知道别人的心
13516,PersonX wants to clean PersonX's room,someone wants to clean his room,有人想打扫他的房间
13517,PersonX spends the entire night,someone spends the entire night,有人整晚
13518,PersonX hits PersonY's city,someone hits someone else's city,有人袭击了别人的城市
13519,PersonX extends the ___ to include,someone extends something to include,某人扩展某物包括
13520,PersonX buys ___ in the market,someone buys something in the market,有人在市场上买东西
13521,PersonX changes PersonY's policy,someone changes someone else's policy,有人改变了别人的政策
13522,PersonX is a bad cook,someone is a bad cook,有人厨艺差
13523,PersonX dates back to the days,someone dates back to the days,有人可以追溯到
13524,PersonX asks ___ for suggestions,someone asks something for suggestions,有人向你寻求建议
13525,PersonX wants to be class president,someone wants to be class president,有人想当班长
13526,PersonX sleeps next to PersonY,someone sleeps next to someone else,有人睡在别人旁边
13527,PersonX loses PersonX's character,someone loses his character,有人失去了人格
13528,PersonX pushes PersonY out,someone pushes someone else out,有人把别人推了出去
13529,PersonX plays marbles,someone plays marbles,有人玩弹珠
13530,PersonX takes PersonY's lunch,someone takes someone else's lunch,有人拿了别人的午餐
13531,PersonX brings the kids with PersonY,someone brings the kids with someone else,有人把孩子带来了
13532,PersonX wants a new puppy,someone wants a new puppy,有人想要一只新的小狗
13533,PersonX makes PersonY's move,someone makes someone else's move,有人动了别人的手
13534,PersonX gets lessons,someone gets lessons,有人得到教训
13535,PersonX buys the freedom at a price,someone buys the freedom at a price,有人以高价买下自由
13536,PersonX puts PersonX's ___ into practice,someone puts his something into practice,有人把他的东西付诸实践
13537,personal shopper,personal shopper,购物代理人
13538,PersonX comes into PersonY's mind,someone comes into someone else's mind,有人进入了别人的脑海
13539,PersonX goes shopping for one,someone goes shopping for one,有人去买一个
13540,PersonX gives PersonY's time,someone gives someone else's time,有人给别人时间
13541,PersonX lets PersonY know,someone lets someone else know,有人让别人知道
13542,PersonX loses PersonX's head,someone loses his head,有人失去了理智
13543,PersonX drives PersonY to the hospital,someone drives someone else to the hospital,有人开车送别人去医院
13544,PersonX takes PersonY's students,someone takes someone else's students,有人把别人的学生
13545,PersonX checks the weather forecast,someone checks the weather forecast,有人查天气预报
13546,PersonX watches PersonX's diet,someone watches his diet,有人注意他的饮食
13547,PersonX does not listen to PersonY,someone does not listen to someone else,有人不听别人的话
13548,PersonX buys PersonX's own house,someone buys his own house,有人买了自己的房子
13549,PersonX becomes very nervous,someone becomes very nervous,有人变得很紧张
13550,PersonX makes dinner immediately,someone makes dinner immediately,有人马上做晚饭
13551,PersonX reconsiders PersonY's decision,someone reconsiders someone else's decision,有人重新考虑别人的决定
13552,PersonX forces ___ upon PersonY,someone forces something upon someone else,有人强迫别人做某事
13553,PersonX takes luggage to nyc,someone takes luggage to nyc,有人带着行李去纽约
13554,PersonX is really worried,someone is really worried,有人真的很担心
13555,PersonX leads PersonY to the conclusion,someone leads someone else to the conclusion,有人引导别人得出结论
13556,PersonX blots PersonX's copy book,someone blots his copy book,有人弄脏了他的复印本
13557,PersonX sleeps better,someone sleeps better,有人睡得更好
13558,PersonX gives PersonY a job,someone gives someone else a job,有人给别人一份工作
13559,PersonX loves to cook,someone loves to cook,有人喜欢做饭
13560,PersonX comes back home,someone comes back home,有人回家了
13561,PersonX crosses PersonY's fingers,someone crosses someone else's fingers,有人越过别人的手指
13562,PersonX tries to win,someone tries to win,有人想赢
13563,PersonX keeps PersonY account,someone keeps someone else account,有人替别人记账
13564,PersonX says good morning,someone says good morning,有人说早安
13565,PersonX enters PersonY's mind,someone enters someone else's mind,别人进入别人的思想
13566,PersonX dresses to go back out to eat,someone dresses to go back out to eat,有人穿着衣服出去吃饭
13567,PersonX is well on PersonX's way,someone is well on his way,有人已经在路上了
13568,PersonX sees what the problem was,someone sees what the problem was,有人知道问题出在哪里
13569,PersonX spends ___ waiting,someone spends something waiting,有人花时间等待
13570,PersonX keeps PersonY apart,someone keeps someone else apart,有人把别人分开
13571,PersonX skips rope,someone skips rope,有人跳绳
13572,PersonX feels like a fool,someone feels like a fool,有人觉得自己像个傻瓜
13573,PersonX buys it for PersonY,someone buys it for someone else,有人买给别人
13574,PersonX gathers dust,someone gathers dust,有人在收集灰尘
13575,PersonX renders every ___,someone renders every something,有人把所有的东西
13576,PersonX recognizes PersonY,someone recognizes someone else,有人认出了别人
13577,PersonX has a great time catching up,someone has a great time catching up,有人很高兴能赶上
13578,PersonX pushes PersonX's luck,someone pushes his luck,有人得寸进尺
13579,PersonX pays PersonY's electric bill,someone pays someone else's electric bill,有人付了别人的电费
13580,PersonX drives motorcyle to the beach,someone drives motorcyle to the beach,有人开摩托车去海滩
13581,PersonX gets lunch,someone gets lunch,有人吃午饭
13582,PersonX improves students ' ___,someone improves students ' something,有人改进学生的东西
13583,PersonX files off the serial numbers,someone files off the serial numbers,有人把序列号
13584,PersonX makes eye contact,someone makes eye contact,有人用眼神交流
13585,PersonX spends money,someone spends money,有人花钱
13586,PersonX gets PersonX's nails done,someone gets his nails done,有人给他做了指甲
13587,PersonX wins the contest,someone wins the contest,有人赢了比赛
13588,PersonX pays ___ to the needs,someone pays something to the needs,有人为需要付出一些
13589,PersonX boils water for minutes,someone boils water for minutes,有人煮了几分钟的水
13590,PersonX gives PersonY a new one,someone gives someone else a new one,有人给了别人一个新的
13591,PersonX hits a deer,someone hits a deer,有人打了一只鹿
13592,PersonX walks ___ from the grocery store,someone walks something from the grocery store,有人从杂货店里走出来
13593,PersonX chases ___ away,someone chases something away,有人把东西赶走了
13594,PersonX asks if would like,someone asks if would like,有人问我是否愿意
13595,PersonX makes it to the championship,someone makes it to the championship,有人赢得了冠军
13596,PersonX binds the pages together,someone binds the pages together,有人把书页绑在一起
13597,PersonX quits cold turkey,someone quits cold turkey,有人突然辞职
13598,PersonX kisses PersonY cheek,someone kisses someone else cheek,某人亲吻别人的脸颊
13599,PersonX visits PersonY,someone visits someone else,有人拜访别人
13600,PersonX takes PersonX's friends out,someone takes his friends out,有人带他的朋友出去
13601,PersonX follows the ___ whithersoever goeth,someone follows something whithersoever goeth,某人无论到哪里都跟着某事
13602,PersonX learns to surf,someone learns to surf,有人学冲浪
13603,PersonX meets in PersonY life,someone meets in someone else life,在别人的生活中相遇
13604,PersonX gives PersonY time,someone gives someone else time,有人给别人时间
13605,PersonX never received,someone never received,有人从未收到过
13606,PersonX practices every ___,someone practices every something,有人在练习
13607,PersonX strikes ___ in the hearts,someone strikes something in the hearts,有人击中了他的心
13608,PersonX offer PersonY resistance,someone offer someone else resistance,有人给别人抵抗
13609,PersonX pours PersonY a glass,someone pours someone else a glass,有人给别人倒了一杯
13610,PersonX finds money yet,someone finds money yet,有人找到钱了吗
13611,PersonX breaks PersonX's back,someone breaks his back,有人弄伤了他的背
13612,PersonX administers the lord 's ___,someone administers the lord 's something,有人管理上帝的东西
13613,PersonX has to take care of PersonY,someone has to take care of someone else,总得有人照顾别人
13614,PersonX rests PersonX's ___ on PersonY's shoulder,someone rests his something on someone else's shoulder,有人把他的东西放在别人的肩上
13615,PersonX stills went,someone stills went,有人去了
13616,PersonX goes home sad,someone goes home sad,有人伤心地回家
13617,PersonX loses 50 pounds,someone loses 50 pounds,有人瘦了50磅
13618,PersonX buys everything PersonY needed,someone buys everything someone else needed,别人需要什么就买什么
13619,PersonX sends PersonY a gift,someone sends someone else a gift,有人送别人礼物
13620,PersonX fills the tub,someone fills the tub,有人把浴缸装满
13621,PersonX assigns ___ to groups,someone assigns something to groups,某人分配某物给团体
13622,PersonX settles PersonY's affairs,someone settles someone else's affairs,有人处理别人的事
13623,PersonX gives the time of day,someone gives the time of day,有人给你一天的时间
13624,PersonX needs glasses,someone needs glasses,有人需要眼镜
13625,PersonX goes the extra mile,someone goes the extra mile,有人付出了额外的努力
13626,PersonX arrives home that ___,someone arrives home that something,有人回到家
13627,PersonX is 20 years old,someone is 20 years old,有人20岁了
13628,PersonX holds ___ with PersonY's forms,someone holds something with someone else's forms,某人拿着别人的表格
13629,PersonX takes PersonX's watch off,someone takes his watch off,有人把他的手表摘下来了
13630,PersonX answers the question,someone answers the question,有人回答问题
13631,PersonX asks people,someone asks people,有人问别人
13632,PersonX eats ___ for weeks,someone eats something for weeks,有人吃了几个星期的东西
13633,PersonX plays kickball,someone plays kickball,有人踢球
13634,PersonX takes groceries home,someone takes groceries home,有人把东西带回家
13635,PersonX turns PersonX's coat,someone turns his coat,有人把他的外套
13636,PersonX flies around ___,someone flies around something,有人飞来飞去
13637,PersonX keeps PersonY's place,someone keeps someone else's place,有人把别人的房子
13638,PersonX plays basketball every day,someone plays basketball every day,有人每天打篮球
13639,PersonX tells PersonY had done,someone tells someone else had done,有人说是别人干的
13640,PersonX learns to knit,someone learns to knit,有人学会编织
13641,PersonX makes eggs and bacon,someone makes eggs and bacon,有人做鸡蛋和熏肉
13642,PersonX invites people over,someone invites people over,有人请人过来
13643,PersonX gains ___ rapidly,someone gains something rapidly,某人得到某物很快
13644,PersonX tells PersonY hoped,someone tells someone else hoped,有人告诉别人希望
13645,PersonX is driving to work one day,someone is driving to work one day,某天有人开车上班
13646,PersonX learns ___ that day,someone learns something that day,有人在那天学到了一些东西
13647,PersonX finally decided,someone finally decided,有人最终决定
13648,PersonX texts PersonY back,someone texts someone else back,有人给别人回短信
13649,PersonX walks home,someone walks home,有人走回家
13650,PersonX makes the coffee,someone makes the coffee,有人在煮咖啡
13651,PersonX looks into PersonY's eyes,someone looks into someone else's eyes,有人看着别人的眼睛
13652,PersonX takes the shadow for the substance,someone takes the shadow for the substance,有人以阴影为实体
13653,PersonX sells PersonX's ___ at the price,someone sells his something at the price,有人把东西卖了
13654,PersonX saves ___ for a rainy day,someone saves something for a rainy day,有人存了一些东西以备不时之需
13655,PersonX puts upon PersonY,someone puts upon someone else,有人欺骗别人
13656,PersonX gets back home,someone gets back home,有人回家了
13657,PersonX can not afford one,someone can not afford one,有人买不起
13658,PersonX has enough money to pay PersonY's rent,someone has enough money to pay someone else's rent,有人有足够的钱付别人的房租
13659,PersonX applies the ___ to cases,someone applies something to cases,有人把一些东西用在案子上
13660,PersonX imputes PersonZ's ___ unto PersonY,someone imputes PersonZ's something unto someone else,有人把个人的东西归罪于别人
13661,PersonX immediately picked it,someone immediately picked it,立刻就有人把它
13662,PersonX views the document in terms,someone views the document in terms,某人以某种方式看待文件
13663,PersonX stays quiet,someone stays quiet,有人保持安静
13664,PersonX gives PersonY a copy,someone gives someone else a copy,有人给了别人一份
13665,PersonX prevails among PersonY,someone prevails among someone else,有人在别人中间占上风
13666,PersonX swims in the lake,someone swims in the lake,有人在湖里游泳
13667,PersonX lands PersonX's dream job,someone lands his dream job,有人得到了他梦寐以求的工作
13668,PersonX writes PersonX's life,someone writes his life,有人写下了他的一生
13669,PersonX puts the flowers back,someone puts the flowers back,有人把花放回去了
13670,PersonX would not work,someone would not work,有人不工作
13671,PersonX gets PersonY's ___ across,someone gets someone else's something across,有人把别人的东西
13672,PersonX comes from behind PersonY,someone comes from behind someone else,有人从后面过来
13673,PersonX sells candy bars,someone sells candy bars,有人卖糖果
13674,PersonX gets blood on the paper,someone gets blood on the paper,有人在纸上沾了血
13675,PersonX gets PersonX's things together,someone gets his things together,有人整理他的东西
13676,PersonX increases PersonY's income,someone increases someone else's income,有人增加了别人的收入
13677,PersonX puts it up for sale,someone puts it up for sale,有人把它卖了
13678,PersonX calls ___ yesterday,someone calls something yesterday,昨天有人打电话来
13679,PersonX digs in PersonX's heels,someone digs in his heels,有人跟在他后面
13680,PersonX comes back to school,someone comes back to school,有人回到学校
13681,PersonX asks PersonY's mother for help,someone asks someone else's mother for help,有人向别人的母亲求助
13682,PersonX tells the truth,someone tells the truth,有人说出了真相
13683,PersonX hurts a lot,someone hurts a lot,有人很受伤
13684,PersonX pays PersonY back,someone pays someone else back,有人还别人钱
13685,PersonX wreaks havoc,someone wreaks havoc,有人在搞破坏
13686,PersonX quickly stopped,someone quickly stopped,有人迅速阻止
13687,PersonX is still hungry,someone is still hungry,有人还饿着呢
13688,PersonX makes PersonY happy again,someone makes someone else happy again,又有人让别人开心了
13689,PersonX takes life seriously,someone takes life seriously,有人认真对待生活
13690,PersonX carries the bat by assault,someone carries the bat by assault,有人拿着球棒
13691,PersonX takes the test ___,someone takes the test something,有人做了测试
13692,PersonX tells PersonY know,someone tells someone else know,有人告诉别人
13693,PersonX climbs mountains,someone climbs mountains,有人爬山
13694,PersonX eats or drink,someone eats or drink,有人吃喝
13695,PersonX accompanies PersonY,someone accompanies someone else,有人陪着别人
13696,PersonX takes it to a mechanic,someone takes it to a mechanic,有人把它交给技工
13697,PersonX makes PersonY's skin crawl,someone makes someone else's skin crawl,有人让别人毛骨悚然
13698,PersonX sits right next to PersonY,someone sits right next to someone else,有人坐在别人旁边
13699,PersonX wants to do something new,someone wants to do something new,有人想做些新的事
13700,PersonX sees PersonY go,someone sees someone else go,有人看见别人走了
13701,PersonX turns PersonX's ___ upon PersonY,someone turns his something upon someone else,有人把他的东西转嫁到别人身上
13702,PersonX sends ___ to the convention,someone sends something to the convention,有人给大会寄东西
13703,PersonX wants to go on a vacation,someone wants to go on a vacation,有人想去度假
13704,PersonX gives PersonY a home,someone gives someone else a home,有人给了别人一个家
13705,PersonX puts PersonX's wallet in PersonX's pocket,someone puts his wallet in his pocket,有人把他的钱包放在口袋里
13706,PersonX effects PersonX's escape,someone effects his escape,有人影响了他的逃跑
13707,PersonX calls to complain,someone calls to complain,有人打电话投诉
13708,PersonX marries the king 's ___,someone marries the king 's something,有人嫁给了国王
13709,PersonX swallows a bitter pill,someone swallows a bitter pill,有人吞下苦果
13710,PersonX watches PersonY's show,someone watches someone else's show,有人看别人的节目
13711,PersonX takes PersonY inside,someone takes someone else inside,有人把别人带进去
13712,PersonX calls PersonY away,someone calls someone else away,有人把别人叫走了
13713,PersonX searches PersonY,someone searches someone else,有人在搜查别人
13714,PersonX hears would say,someone hears would say,有人听到会说
13715,PersonX pays ___ late,someone pays something late,有人迟交了钱
13716,PersonX likes PersonX's name,someone likes his name,有人喜欢他的名字
13717,PersonX meets the company 's ___,someone meets the company 's something,有人遇到公司的人
13718,PersonX tells someone,someone tells someone,有人告诉别人
13719,PersonX brings PersonY to the point,someone brings someone else to the point,有人说到点子上了
13720,PersonX joins the military,someone joins the military,有人加入了军队
13721,PersonX wants to be a firefighter,someone wants to be a firefighter,有人想当消防员
13722,PersonX leaves dirt in the hands,someone leaves dirt in the hands,有人把脏东西留在手上
13723,PersonX gives PersonX's opinion,someone gives his opinion,有人给出了他的意见
13724,PersonX works part time,someone works part time,有人做兼职
13725,PersonX shifts the ___ away,someone shifts something away,有人把东西移走了
13726,PersonX finally joined,someone finally joined,终于有人加入了
13727,PersonX pulls up stumps,someone pulls up stumps,有人把树桩
13728,PersonX speaks unto PersonY,someone speaks unto someone else,有人跟别人说话
13729,PersonX builds muscle,someone builds muscle,有人锻炼肌肉
13730,PersonX makes PersonY judgment,someone makes someone else judgment,有人做出别人的判断
13731,PersonX seeks ___ abroad,someone seeks something abroad,某人在国外寻找某物
13732,PersonX drives back to PersonY,someone drives back to someone else,有人开车去找别人
13733,PersonX is sent home,someone is sent home,有人被送回家了
13734,PersonX is yet another ___,someone is yet another something,某人是另一个人
13735,PersonX schools every ___,someone schools every something,有人在学校里
13736,PersonX scatters throughout the world,someone scatters throughout the world,有人散布在世界各地
13737,PersonX works late,someone works late,有人工作到很晚
13738,PersonX lays on PersonY's side,someone lays on someone else's side,有人站在别人一边
13739,PersonX works like a dream,someone works like a dream,有人像梦一样工作
13740,PersonX decides to run,someone decides to run,有人决定逃跑
13741,PersonX sits back on PersonY's heels,someone sits back on someone else's heels,有人坐在别人后面
13742,PersonX begins to sing,someone begins to sing,有人开始唱歌
